"","X","type","Paying","date","amount","purpose_scrubbed","Paid","purpose","property","city","state","year","month","latlong.x","latlong.y"
"1",1,"FEC","Donald J. Trump for President, Inc.","2015-04-30",1380.54,"Lodging","Trump Hotel NY","TTW - TRAVEL: LODGING","TRUMP INTERNATIONAL HOTEL AND TOWER","New York","NY",2015,NA,NA,"40.769112:-73.981621"
"2",2,"FEC","Donald J. Trump for President, Inc.","2015-05-05",9583.33,"Rent","Trump Tower Commercial LLC","TTW - RENT","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2015,NA,NA,"40.762459:-73.973869"
"3",3,"FEC","Donald J. Trump for President, Inc.","2015-06-16",37993.04,"Events","The Trump Corporation","TTW  - ONE-TIME REIMBURSEMENT FOR FACILITY, RESOURCES & DOMAIN NAMES","THE TRUMP CORPORATION","New York","NY",2015,NA,NA,"40.762459:-73.973869"
"4",4,"FEC","Donald J. Trump for President, Inc.","2015-06-16",3240.96,"Lodging","Trump Soho NY","TTW - TRAVEL: LODGING","TRUMP SOHO","New York","NY",2015,NA,NA,"40.725544:-74.005272"
"5",5,"FEC","Donald J. Trump for President, Inc.","2015-06-16",9583.33,"Rent","Trump Tower Commercial LLC","TTW - RENT","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2015,NA,NA,"40.762459:-73.973869"
"6",6,"FEC","Donald J. Trump for President, Inc.","2015-06-16",506486,"Travel","Tag Air, Inc.","TTW - TRAVEL: AIRFARE - FMV","TAG AIR, INC.","West Palm Beach","FL",2015,NA,NA,"29.495040:-95.099979"
"7",7,"FEC","Donald J. Trump for President, Inc.","2015-06-17",814.24,"Lodging","Trump Soho NY","TRAVEL: LODGING","TRUMP SOHO","New York","NY",2015,NA,NA,"40.725544:-74.005272"
"8",8,"FEC","Donald J. Trump for President, Inc.","2015-07-01",6000,"Rent","Trump CPS LLC","IN-KIND: RENT","TRUMP CPS LLC","New York","NY",2015,NA,NA,"40.765557:-73.976590"
"9",9,"FEC","Donald J. Trump for President, Inc.","2015-07-01",9000,"Rent","Trump Plaza LLC","IN-KIND: RENT","TRUMP PLAZA LLC","New York","NY",2015,NA,NA,"40.763234:-73.970105"
"10",10,"FEC","Donald J. Trump for President, Inc.","2015-07-02",514.88,"Payroll","Trump Tower Commercial LLC","PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2015,NA,NA,"40.762459:-73.973869"
"11",11,"FEC","Donald J. Trump for President, Inc.","2015-07-03",516.39,"Lodging","Trump Hotel NY","TRAVEL: LODGING [MCMULLEN: SB23.7057]","Trump International Hotel","New York","NY",2015,NA,NA,"40.769112:-73.981621"
"12",12,"FEC","Donald J. Trump for President, Inc.","2015-07-06",9583.33,"Rent","The Trump Corporation","RENT","THE TRUMP CORPORATION","New York","NY",2015,NA,NA,"40.762459:-73.973869"
"13",13,"FEC","Donald J. Trump for President, Inc.","2015-07-09",2574.43,"Payroll","Trump Tower Commercial LLC","PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2015,NA,NA,"40.762459:-73.973869"
"14",14,"FEC","Donald J. Trump for President, Inc.","2015-07-11",4049.62,"Payroll","Trump Payroll Corp","PRE-PAID PAYROLL","TRUMP PAYROLL CORP","New York","NY",2015,NA,NA,"40.762459:-73.973869"
"15",15,"FEC","Donald J. Trump for President, Inc.","2015-07-23",2574.43,"Payroll","Trump Tower Commercial LLC","PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2015,NA,NA,"40.762459:-73.973869"
"16",16,"FEC","Donald J. Trump for President, Inc.","2015-07-25",4049.64,"Payroll","Trump Payroll Corp","PRE-PAID PAYROLL","TRUMP PAYROLL CORP","New York","NY",2015,NA,NA,"40.762459:-73.973869"
"17",17,"FEC","Donald J. Trump for President, Inc.","2015-07-29",25874.17,"Rent","Trump Tower Commercial LLC","RENT","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2015,NA,NA,"40.762459:-73.973869"
"18",18,"FEC","Donald J. Trump for President, Inc.","2015-07-30",2574.43,"Payroll","Trump Tower Commercial LLC","PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2015,NA,NA,"40.762459:-73.973869"
"19",19,"FEC","Donald J. Trump for President, Inc.","2015-08-01",6000,"Rent","Trump CPS LLC","IN-KIND: RENT","TRUMP CPS LLC","New York","NY",2015,NA,NA,"40.765557:-73.976590"
"20",20,"FEC","Donald J. Trump for President, Inc.","2015-08-01",9000,"Rent","Trump Plaza LLC","IN-KIND: RENT","TRUMP PLAZA LLC","New York","NY",2015,NA,NA,"40.763234:-73.970105"
"21",21,"FEC","Donald J. Trump for President, Inc.","2015-08-06",4958.38,"Payroll","Trump Tower Commercial LLC","PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2015,NA,NA,"40.762459:-73.973869"
"22",22,"FEC","Donald J. Trump for President, Inc.","2015-08-08",1713.32,"Payroll","Trump Payroll Corp","PRE-PAID PAYROLL","TRUMP PAYROLL CORP","New York","NY",2015,NA,NA,"40.762459:-73.973869"
"23",23,"FEC","Donald J. Trump for President, Inc.","2015-08-12",422730,"Travel","Tag Air, Inc.","TRAVEL: AIRFARE","TAG AIR, INC.","West Palm Beach","FL",2015,NA,NA,"29.495040:-95.099979"
"24",24,"FEC","Donald J. Trump for President, Inc.","2015-08-13",2574.43,"Payroll","Trump Tower Commercial LLC","PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2015,NA,NA,"40.762459:-73.973869"
"25",25,"FEC","Donald J. Trump for President, Inc.","2015-08-18",9,"Food","Trump Cafe NY","MEETING EXPENSE: MEALS [AMEX: SB23.248388]","TRUMP CAFE","New York","NY",2015,NA,NA,"40.762459:-73.973869"
"26",26,"FEC","Donald J. Trump for President, Inc.","2015-08-19",9,"Food","Trump Cafe NY","MEETING EXPENSE: MEALS [AMEX: SB23.248388]","TRUMP CAFE","New York","NY",2015,NA,NA,"40.762459:-73.973869"
"27",27,"FEC","Donald J. Trump for President, Inc.","2015-08-20",4127.33,"Payroll","Trump Tower Commercial LLC","PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2015,NA,NA,"40.762459:-73.973869"
"28",28,"FEC","Donald J. Trump for President, Inc.","2015-08-20",35457.5,"Rent","Trump Tower Commercial LLC","RENT","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2015,NA,NA,"40.762459:-73.973869"
"29",29,"FEC","Donald J. Trump for President, Inc.","2015-08-22",3063.2,"Payroll","Trump Payroll Corp","PRE-PAID PAYROLL","TRUMP PAYROLL CORP","New York","NY",2015,NA,NA,"40.762459:-73.973869"
"30",30,"FEC","Donald J. Trump for President, Inc.","2015-08-24",25.12,"Food","Trump Cafe NY","MEETING EXPENSE: MEALS [AMEX: SB23.248388]","TRUMP CAFE","New York","NY",2015,NA,NA,"40.762459:-73.973869"
"31",31,"FEC","Donald J. Trump for President, Inc.","2015-08-24",14.46,"Food","Trump Cafe NY","MEETING EXPENSE: MEALS [AMEX: SB23.248388]","TRUMP CAFE","New York","NY",2015,NA,NA,"40.762459:-73.973869"
"32",32,"FEC","Donald J. Trump for President, Inc.","2015-08-26",1483,"Rent","Trump Restaurants LLC","RENT","TRUMP RESTAURANTS LLC","New York","NY",2015,NA,NA,"40.762459:-73.973869"
"33",33,"FEC","Donald J. Trump for President, Inc.","2015-08-27",4164.59,"Payroll","Trump Tower Commercial LLC","PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2015,NA,NA,"40.762459:-73.973869"
"34",34,"FEC","Donald J. Trump for President, Inc.","2015-08-28",6.8,"Food","Trump Cafe NY","MEETING EXPENSE: MEALS [AMEX: SB23.248388]","TRUMP CAFE","New York","NY",2015,NA,NA,"40.762459:-73.973869"
"35",35,"FEC","Donald J. Trump for President, Inc.","2015-08-31",702.24,"Food","Trump Restaurants LLC","MEETING EXPENSE: MEALS","TRUMP RESTAURANTS LLC","New York","NY",2015,NA,NA,"40.762459:-73.973869"
"36",36,"FEC","Donald J. Trump for President, Inc.","2015-09-01",6000,"Rent","Trump CPS LLC","IN-KIND: RENT","TRUMP CPS LLC","New York","NY",2015,NA,NA,"40.765557:-73.976590"
"37",37,"FEC","Donald J. Trump for President, Inc.","2015-09-01",9000,"Rent","Trump Plaza LLC","IN-KIND: RENT","TRUMP PLAZA LLC","New York","NY",2015,NA,NA,"40.763234:-73.970105"
"38",38,"FEC","Donald J. Trump for President, Inc.","2015-09-02",286.73,"Lodging","Trump Hotel Las Vegas","TRAVEL: LODGING [AMEX: SB23.6878]","TRUMP HOTEL","Las Vegas","NV",2015,NA,NA,"36.127804:-115.167915"
"39",39,"FEC","Donald J. Trump for President, Inc.","2015-09-03",5.82,"Food","Trump Cafe NY","MEETING EXPENSE: MEALS [AMEX: SB23.248388]","TRUMP CAFE","New York","NY",2015,NA,NA,"40.762459:-73.973869"
"40",40,"FEC","Donald J. Trump for President, Inc.","2015-09-03",3954.54,"Payroll","Trump Tower Commercial LLC","PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2015,NA,NA,"40.762459:-73.973869"
"41",41,"FEC","Donald J. Trump for President, Inc.","2015-09-03",35457.5,"Rent","Trump Tower Commercial LLC","RENT","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2015,NA,NA,"40.762459:-73.973869"
"42",42,"FEC","Donald J. Trump for President, Inc.","2015-09-05",2460.94,"Payroll","Trump Payroll Corp","PRE-PAID PAYROLL","TRUMP PAYROLL CORP","New York","NY",2015,NA,NA,"40.762459:-73.973869"
"43",43,"FEC","Donald J. Trump for President, Inc.","2015-09-10",14,"Food","Trump Cafe NY","MEETING EXPENSE: MEALS [AMEX: SB23.248388]","TRUMP CAFE","New York","NY",2015,NA,NA,"40.762459:-73.973869"
"44",44,"FEC","Donald J. Trump for President, Inc.","2015-09-10",2574.43,"Payroll","Trump Tower Commercial LLC","PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2015,NA,NA,"40.762459:-73.973869"
"45",45,"FEC","Donald J. Trump for President, Inc.","2015-09-11",10.41,"Food","Trump Cafe NY","MEETING EXPENSE: MEALS [AMEX: SB23.248388]","TRUMP CAFE","New York","NY",2015,NA,NA,"40.762459:-73.973869"
"46",46,"FEC","Donald J. Trump for President, Inc.","2015-09-17",15.51,"Food","Trump Grill NY","MEETING EXPENSE: MEALS [AMEX: SB23.248389]","TRUMP GRILL","New York","NY",2015,NA,NA,"40.762377:-73.973989"
"47",47,"FEC","Donald J. Trump for President, Inc.","2015-09-17",2574.43,"Payroll","Trump Tower Commercial LLC","PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2015,NA,NA,"40.762459:-73.973869"
"48",48,"FEC","Donald J. Trump for President, Inc.","2015-09-18",6.64,"Food","Trump Grill NY","MEETING EXPENSE: MEALS [AMEX: SB23.248389]","TRUMP GRILL","New York","NY",2015,NA,NA,"40.762377:-73.973989"
