Paid,latlong
Trump Hotel NY,40.769112:-73.981621
Trump Tower Commercial LLC,40.762459:-73.973869
The Trump Corporation,40.762459:-73.973869
Trump Soho NY,40.725544:-74.005272
Tag Air,29.495040:-95.099979
Trump CPS LLC,40.765557:-73.976590
Trump Plaza LLC                  ,40.763234:-73.970105
Trump Payroll Corp             ,40.762459:-73.973869
Trump Cafe NY                    ,40.762459:-73.973869
Trump Restaurants LLC,40.762459:-73.973869
Trump Hotel Las Vegas,36.127804:-115.167915
Trump Grill NY,40.762377:-73.973989
Trump Hotel D.C.,38.894508:-77.027603
Trump Golf Club Miami,25.818840:-80.343826
Trump Hotel Chicago,41.889019:-87.626549
Trump Ice LLC,40.762459:-73.973869
Eric Trump Wine Manufacturing,38.131347:-78.500322
Trump Virginia Acquisitions,38.030796:-78.441235
Trump Golf Club Jupiter,26.890032:-80.089848
Trump Golf Club Palm Beach,26.665794:-80.061525
Trump Golf Club Bedminster,40.653775:-74.697349
Trump Golf Club Westchester,41.146065:-73.829630
Other,40.762459:-73.973869
Trump Golf Club Charlotte,35.531978:-80.918631
Trump Golf Club D.C,39.052459:-77.347594
Trump Hotel D.C,38.894508:-77.027603
BLT Prime D.C,38.894508:-77.027603
Trump Golf Club D.C.,39.052459:-77.347594
Trump Golf Club Bedminster  ,40.653775:-74.697349
Benjamin Bar & Lounge D.C,38.894508:-77.027603
Trump Golf Club L.A.,33.731861:-118.347252
Mar-a-Lago Club LLC,26.676821:-80.037979
Trump Hotel Honolulu,21.306944:-157.858337
Trump Golf Resort Scotland,57.246473:-2.057142
Trump Hotel Panama,8.982379:-79.519867
Trump Golf Club,40.762459:-73.973869
Trump Hotel Vancouver,49.286850:-123.124168
Trump Golf Club Doonberg,52.757504:-9.512598
